照片文件名,菜品名,价格(元),口味标签,食材,备注
sh_701.jpg,厦大芙蓉盐水鸭,14,咸鲜;鸭肉,鸭肉;花椒;盐,厦大芙蓉食堂
sh_702.jpg,厦大勤业红烧狮子头,11,咸甜;大肉丸,猪肉;马蹄;生抽,厦大勤业食堂
sh_703.jpg,厦大南光干煸豆角,6,微辣;干香,豆角;肉末;干辣椒,厦大南光食堂
sh_704.jpg,厦大东苑京酱肉丝,11,甜咸;酱香,猪肉;甜面酱;葱丝,厦大东苑食堂
sh_705.jpg,厦大芙蓉咖喱土豆牛肉,15,咖喱;微辣,牛肉;土豆;咖喱块,厦大芙蓉食堂
sh_706.jpg,厦大勤业蟹黄豆腐,14,鲜咸;蟹味,蟹黄;豆腐;高汤,厦大勤业食堂
sh_707.jpg,厦大南光毛豆炒鸡丁,12,咸鲜;毛豆,鸡肉;毛豆;红椒,厦大南光食堂
sh_708.jpg,厦大东苑东坡肉,18,甜咸;东坡,五花肉;黄酒;冰糖,厦大东苑食堂
sh_709.jpg,厦大芙蓉酸菜鱼,16,酸辣;鱼片,黑鱼;酸菜;泡椒,厦大芙蓉食堂
sh_710.jpg,厦大勤业孜然羊肉粒,15,孜然;羊肉,羊肉;孜然;彩椒,厦大勤业食堂
sh_711.jpg,东南九龙湖盐水鸭,14,咸鲜;鸭肉,鸭肉;花椒;盐,东南九龙湖食堂
sh_712.jpg,东南四牌楼红烧狮子头,11,咸甜;大肉丸,猪肉;马蹄;生抽,东南四牌楼食堂
sh_713.jpg,东南九龙湖干煸豆角,6,微辣;干香,豆角;肉末;干辣椒,东南九龙湖食堂
sh_714.jpg,东南四牌楼京酱肉丝,11,甜咸;酱香,猪肉;甜面酱;葱丝,东南四牌楼食堂
sh_715.jpg,东南九龙湖咖喱土豆牛肉,15,咖喱;微辣,牛肉;土豆;咖喱块,东南九龙湖食堂
sh_716.jpg,东南四牌楼蟹黄豆腐,14,鲜咸;蟹味,蟹黄;豆腐;高汤,东南四牌楼食堂
sh_717.jpg,东南九龙湖毛豆炒鸡丁,12,咸鲜;毛豆,鸡肉;毛豆;红椒,东南九龙湖食堂
sh_718.jpg,东南四牌楼东坡肉,18,甜咸;东坡,五花肉;黄酒;冰糖,东南四牌楼食堂
sh_719.jpg,东南九龙湖酸菜鱼,16,酸辣;鱼片,黑鱼;酸菜;泡椒,东南九龙湖食堂
sh_720.jpg,东南四牌楼孜然羊肉粒,15,孜然;羊肉,羊肉;孜然;彩椒,东南四牌楼食堂
sh_721.jpg,华科喻园盐水鸭,14,咸鲜;鸭肉,鸭肉;花椒;盐,华科喻园食堂
sh_722.jpg,华科百景园红烧狮子头,11,咸甜;大肉丸,猪肉;马蹄;生抽,华科百景园食堂
sh_723.jpg,华科喻园干煸豆角,6,微辣;干香,豆角;肉末;干辣椒,华科喻园食堂
sh_724.jpg,华科百景园京酱肉丝,11,甜咸;酱香,猪肉;甜面酱;葱丝,华科百景园食堂
